feature_id,modifier_rank,name,roles
outer_001_feature_125,,estimated_glomerular_filtration_rate,
outer_001_feature_126,,exercise_duration,
outer_001_feature_127,,extra_axial_fluid_collection,
outer_001_feature_128,,extra_ocular_muscle_appearance,
outer_001_feature_129,,extremity_exam_findings,
outer_001_feature_130,,family_history_of_breast_cancer,
outer_001_feature_131,,family_history_of_colon_cancer,confounder
outer_001_feature_132,,family_history_of_lung_cancer,confounder
outer_001_feature_133,,family_history_of_myocardial_infarction,confounder
outer_001_feature_134,,fatigue,confounder
outer_001_feature_135,,febrile_neutropenia_presence,confounder
outer_001_feature_136,,fgfr1_amplification_status,confounder
outer_001_feature_137,,focal_intra_axial_lesion,confounder
outer_001_feature_138,,gadolinium_contrast_use,confounder
outer_001_feature_139,,gemcitabine_tolerance,
outer_001_feature_140,,gender_identity,confounder
outer_001_feature_141,,gene_amplification_status,confounder
outer_001_feature_142,,genetic_mutation_status,
outer_001_feature_143,,genomic_dna_input_amount,confounder
outer_001_feature_144,,gerd_presence,confounder
outer_001_feature_145,,globe_appearance,confounder
outer_001_feature_146,,glucose_level,confounder
outer_001_feature_147,,growth_factor_support_use,confounder
outer_001_feature_148,,head_shape_and_trauma_status,
outer_001_feature_149,,headache_presence,confounder
outer_001_feature_150,,heart_rate,confounder
outer_001_feature_151,,heent_exam_status,
outer_001_feature_152,,height,confounder
outer_001_feature_153,,hematocrit,confounder
outer_001_feature_154,,hematuria,
outer_001_feature_155,,hemoglobin_level,confounder
outer_001_feature_156,,hemoptysis_presence,
outer_001_feature_157,,hernia_repair_history,
outer_001_feature_158,,hilar_lymphadenopathy_presence,confounder
outer_001_feature_159,,hyperlipidemia_status,confounder
outer_001_feature_160,,hypertension_status,confounder
outer_001_feature_161,,hypothyroidism_presence,
outer_001_feature_162,,illicit_drug_use,confounder
outer_001_feature_163,,imaging_ct_scan_performed,
outer_001_feature_164,,imaging_finding_cerebellar_fdg_uptake,confounder
outer_001_feature_165,,imaging_finding_right_lower_lobe_mass,confounder
outer_001_feature_166,,imaging_finding_upper_lobe_mass,confounder
outer_001_feature_167,,imaging_mri_performed,confounder
outer_001_feature_168,,imaging_pet_suv_max,confounder
outer_001_feature_169,,immunotherapy_type,confounder
outer_001_feature_170,,inhaler_usage_dosage,confounder
outer_001_feature_171,,intra_orbital_enhancement,
outer_001_feature_172,,intra_orbital_mass,
outer_001_feature_173,,intracranial_hemorrhage,
outer_001_feature_174,,jugular_venous_distention_presence,confounder
outer_001_feature_175,,keap1_status,
outer_001_feature_176,,ki67_proliferation_index,
outer_001_feature_177,,knee_osteoarthritis_presence,confounder
outer_001_feature_178,,known_drug_allergies,
outer_001_feature_179,14.0,kras_g12c_variant_allele_frequency,effect_modifier
outer_001_feature_180,,ldh_level,
outer_001_feature_181,,leptomeningeal_enhancement_presence,
outer_001_feature_182,,lesion_presence,
outer_001_feature_183,,lesion_size,confounder
outer_001_feature_184,16.0,line_of_therapy,confounder;effect_modifier
outer_001_feature_185,,lipid_lowering_therapy_use,confounder
outer_001_feature_186,,lisinopril_dose,confounder
outer_001_feature_187,,liver_function,
outer_001_feature_188,,liver_metastasis_presence,confounder
outer_001_feature_189,,living_situation,confounder
outer_001_feature_190,,lobectomy_type,
outer_001_feature_191,,lung_auscultation_findings,confounder
outer_001_feature_192,,lung_cancer_histology,
outer_001_feature_193,,lung_cancer_stage,
outer_001_feature_194,,lung_disease_diagnosis,confounder
outer_001_feature_195,,lung_mass_morphology,
outer_001_feature_196,,lung_mass_suvmax,
outer_001_feature_197,,lymph_node_dissection_status,
outer_001_feature_198,,lymph_node_metastasis_count,
outer_001_feature_199,,lymphadenopathy_status,
outer_001_feature_200,23.0,m_stage,
outer_001_feature_201,12.0,mediastinal_lymph_node_dissection_performed,confounder;effect_modifier
outer_001_feature_202,,mediastinal_lymph_node_status,
outer_001_feature_203,,medication_calcium_carbonate,confounder
outer_001_feature_204,9.0,medication_cisplatin,effect_modifier
outer_001_feature_205,,medication_denosumab,
outer_001_feature_206,,medication_dexamethasone,confounder
outer_001_feature_207,,medication_g12c_inhibitor,
outer_001_feature_208,,medication_gemcitabine,confounder
outer_001_feature_209,,medication_lisinopril,confounder
outer_001_feature_210,,medication_met_inhibitor,
outer_001_feature_211,,medication_oxycodone,confounder
outer_001_feature_212,10.0,medication_pemetrexed,confounder;effect_modifier
outer_001_feature_213,,meningeal_thickening,confounder
outer_001_feature_214,15.0,met_amplification_status,effect_modifier
outer_001_feature_215,,metabolic_response,
outer_001_feature_216,,metastasis_location,confounder
outer_001_feature_217,,morphine_administered,confounder
outer_001_feature_218,,mri_flair_hyperintensity_presence,confounder
outer_001_feature_219,,msi_status,
outer_001_feature_220,,mucositis_presence,
outer_001_feature_221,,myelosuppression,confounder
outer_001_feature_222,,myocardial_infarction_presence,confounder
outer_001_feature_223,22.0,n_stage,confounder
outer_001_feature_224,25.0,napsin_a_expression,confounder
outer_001_feature_225,,nausea_severity,confounder
outer_001_feature_226,,necrotic_fluid_presence,
outer_001_feature_227,,neurological_symptoms_presence,confounder
outer_001_feature_228,1.0,neutrophil_to_lymphocyte_ratio,confounder;effect_modifier
outer_001_feature_229,,night_sweats,confounder
outer_001_feature_230,,nsclc_diagnosis,
outer_001_feature_231,,nyha_class,confounder
outer_001_feature_232,,occupation,confounder
outer_001_feature_233,,oncology_management_status,
outer_001_feature_234,,ondansetron_use,confounder
outer_001_feature_235,,optic_chiasm_enhancement,confounder
outer_001_feature_236,,optic_nerve_enhancement,
outer_001_feature_237,,orbital_fat_appearance,
outer_001_feature_238,,organomegaly_presence,confounder
outer_001_feature_239,,osteoarthritis_presence,confounder
outer_001_feature_240,,osteopenia,confounder
outer_001_feature_241,,oxygen_saturation,confounder
outer_001_feature_242,,oxygen_therapy_use,confounder
outer_001_feature_243,,p40_expression,
outer_001_feature_244,,paclitaxel_dose,
outer_001_feature_245,,pain_severity,
outer_001_feature_246,,palliative_care_status,confounder
outer_001_feature_247,,patient_wishes,
outer_001_feature_248,,pd_l1_tps,
outer_001_feature_249,,pembrolizumab_dose,
outer_001_feature_250,,peripheral_neuropathy_grade,confounder
outer_001_feature_251,,peritumoral_edema,confounder
outer_001_feature_252,,periventricular_signal_abnormality,confounder
outer_001_feature_253,,phospho_met_status,
outer_001_feature_254,,pi3k_pathway_activation,confounder
outer_001_feature_255,,pituitary_gland_enhancement,
outer_001_feature_256,,pituitary_gland_signal,
outer_001_feature_257,,pituitary_gland_size,
outer_001_feature_258,,platelet_count,confounder
outer_001_feature_259,,pleural_effusion,confounder
outer_001_feature_260,,pneumonia_diagnosis,confounder
outer_001_feature_261,,posterior_fossa_enhancement,confounder
outer_001_feature_262,,posterior_fossa_mass_effect,confounder
outer_001_feature_263,,previous_radiation_therapy,confounder
outer_001_feature_264,,primary_tumor_location,confounder
outer_001_feature_265,,primary_tumor_morphology,confounder
outer_001_feature_266,20.0,primary_tumor_size,confounder
outer_001_feature_267,,prior_platinum_chemotherapy,confounder
outer_001_feature_268,,prior_treatment_regimen,confounder
outer_001_feature_269,,pro_ctcae_pain_severity,confounder
outer_001_feature_270,,progressive_exertional_symptoms,confounder
outer_001_feature_271,,proton_pump_inhibitor_use,confounder
outer_001_feature_272,,psychiatric_symptom_presence,confounder
outer_001_feature_273,,pulmonary_condition,confounder
outer_001_feature_274,,pulmonary_function_test_status,
outer_001_feature_275,,pulmonary_lesion_presence,
outer_001_feature_276,,pulmonary_nodules_presence,confounder
outer_001_feature_277,,pupil_reactivity,confounder
outer_001_feature_278,,qlq_c30_physical_function,confounder
outer_001_feature_279,,qlq_c30_role_function,confounder
outer_001_feature_280,,radiation_therapy_history,
outer_001_feature_281,,radiation_therapy_session_count,
outer_001_feature_282,,radiosurgery_history,confounder
outer_001_feature_283,,range_of_motion_touch_toes,
outer_001_feature_284,,rash_presence,
outer_001_feature_285,,rash_pruritus_presence,
outer_001_feature_286,,renal_function_status,
outer_001_feature_287,,respiratory_rate,confounder
outer_001_feature_288,,restricted_diffusion_on_dwi_adc,confounder
outer_001_feature_289,,ret_rearrangement_status,
outer_001_feature_290,,retroperitoneal_lymphadenopathy_presence,confounder
outer_001_feature_291,,ros1_mutation_status,
outer_001_feature_292,,ros1_rearrangement_status,
outer_001_feature_293,,rsv_infection_status,
outer_001_feature_294,,scapular_metastasis,confounder
outer_001_feature_295,2.0,serum_albumin,confounder;effect_modifier
outer_001_feature_296,,serum_bicarbonate,confounder
outer_001_feature_297,,serum_calcium,confounder
outer_001_feature_298,,serum_chloride,confounder
outer_001_feature_299,,serum_creatinine,
outer_001_feature_300,,serum_potassium,
outer_001_feature_301,,serum_sodium,confounder
outer_001_feature_302,,sex,confounder
outer_001_feature_303,,skeletal_compression_fracture,
outer_001_feature_304,,skull_base_lytic_sclerotic_lesions,confounder
outer_001_feature_305,,smoking_abstinence_date,
outer_001_feature_306,,smoking_cessation_duration,confounder
outer_001_feature_307,,smoking_status,confounder
outer_001_feature_308,,stk11_mutation_status,confounder
outer_001_feature_309,,subdural_hemorrhage,confounder
outer_001_feature_310,,sulci_and_cisterns_appearance,confounder
outer_001_feature_311,,surgical_margin_status,
outer_001_feature_312,,surgical_procedure,
outer_001_feature_313,,systolic_blood_pressure,confounder
outer_001_feature_314,24.0,t_stage,confounder
outer_001_feature_315,,targeted_therapy_use,
outer_001_feature_316,,test_ngs_performed,
outer_001_feature_317,,thyromegaly_presence,
outer_001_feature_318,,tiotropium_use,confounder
outer_001_feature_319,,tissue_thickening,confounder
outer_001_feature_320,,tki_therapy_use,
outer_001_feature_321,,tobacco_smoking_history,confounder
outer_001_feature_322,,total_bilirubin,
outer_001_feature_323,,tp53_mutation_status,
outer_001_feature_324,,tp53_r273h_mutation_status,confounder
outer_001_feature_325,,tps_score,
outer_001_feature_326,,transependymal_flow,
outer_001_feature_327,,treatment_cycle_frequency,
outer_001_feature_328,,treatment_goals,
outer_001_feature_329,,treatment_response,
outer_001_feature_330,28.0,ttf1_expression,
outer_001_feature_331,,tumor_cell_presence,
outer_001_feature_332,29.0,tumor_differentiation,
outer_001_feature_333,,tumor_invasion,
outer_001_feature_334,30.0,tumor_mutational_burden,
outer_001_feature_335,,ulceration,
outer_001_feature_336,,unintended_weight_change,confounder
outer_001_feature_337,,variant_allele_frequency,confounder
outer_001_feature_338,,vasogenic_edema_presence,confounder
outer_001_feature_339,,ventricular_edema,
outer_001_feature_340,,ventricular_hemorrhage,confounder
outer_001_feature_341,,ventricular_size,confounder
outer_001_feature_342,,vertebral_metastasis_presence,
outer_001_feature_343,,vinorelbine_administered,confounder
outer_001_feature_344,,visual_field_deficit,
outer_001_feature_345,,vitamin_deficiency_anemia,confounder
outer_001_feature_346,,vitamin_supplement_use,confounder
outer_001_feature_347,,weight,confounder
outer_001_feature_348,,wheezing_presence,confounder
outer_001_feature_349,,white_blood_cell_count,confounder
outer_001_feature_350,,who_grade,
outer_001_feature_351,,whole_brain_radiation_therapy,
outer_001_feature_352,,zoledronic_acid_dose_frequency,
